Date,AssetName,Market,Source,Open,High,Low,Close,Volume,Value,Return_1D,Return_5D,Return_20D,Return_60D,Return_120D,Return_240D,MA30,MA60,MA120,MA30_Above_MA60,MA60_Above_MA120,MA_Alignment,Close_to_MA30,Close_to_MA60,Close_to_MA120,High_52W,Drawdown_52W,Volatility_20D,Volatility_60D,RSI14,MACD,MACD_Signal,MACD_Hist,MACD_GoldenCross,ROC60,Volume_MA20,Volume_Ratio_20D,AssetCode,Foreign,Institution,Foreign_5D,Foreign_20D,Institution_5D,Institution_20D,TotalFlow,TotalFlow_5D,TotalFlow_20D,RS_vs_KOSPI,RS_vs_KOSPI_Return_20D,RS_vs_KOSPI_Return_60D,RS_vs_NASDAQ,RS_vs_NASDAQ_Return_20D,RS_vs_NASDAQ_Return_60D,RS_vs_SP500,RS_vs_SP500_Return_20D,RS_vs_SP500_Return_60D
2020-01-01,USD/KRW,FX,yfinance,1154.4000244140625,1154.4000244140625,1145.449951171875,1153.75,0,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,KRW=X,,,,,,,,,,,,,,,,,,
2020-01-02,SK Hynix,KR_STOCK,FinanceDataReader,96000.0,96200.0,94100.0,94700.0,2342070,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,000660,,,,,,,,,,43.53682700662477,,,,,,,,
2020-01-02,Samsung Electronics,KR_STOCK,FinanceDataReader,55500.0,56000.0,55000.0,55200.0,12993228,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,005930,,,,,,,,,,25.37732682962711,,,,,,,,
2020-01-02,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,4055.0,4125.0,3970.0,3980.0,366562,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,042700,,,,,,,,,,1.8297420431506501,,,,,,,,
2020-01-02,KOSDAQ,KR_INDEX,FinanceDataReader,672.53,674.3,666.62,674.02,783730760,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,KQ11,,,,,,,,,,,,,,,,,,
2020-01-02,USD/KRW,FX,yfinance,1153.9599609375,1160.18994140625,1145.199951171875,1153.969970703125,0,,0.00019065716413857459,,,,,,,,,0,0,0,,,,,,,,,0.01754752047713737,0.0035095040954274737,0.014038016381709895,1,,,,KRW=X,,,,,,,,,,,,,,,,,,
2020-01-02,KOSPI,KR_INDEX,FinanceDataReader,2201.21,2202.32,2171.84,2175.17,494677752,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,KS11,,,,,,,,,,,,,,,,,,
2020-01-02,VanEck Semiconductor ETF,US_ETF,yfinance,71.8949966430664,72.47000122070312,71.65499877929688,72.33999633789062,5200400,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,SMH,,,,,,,,,,,,,0.007956278181513732,,,0.022204826548014957,,
2020-01-02,iShares Semiconductor ETF,US_ETF,yfinance,84.75333404541016,85.43000030517578,84.33333587646484,85.43000030517578,1275300,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,SOXX,,,,,,,,,,,,,0.009395975696487037,,,0.026222814968262505,,
2020-01-02,S&P 500,US_INDEX,yfinance,3244.669921875,3258.139892578125,3235.530029296875,3257.85009765625,3459930000,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,^GSPC,,,,,,,,,,,,,,,,,,
2020-01-02,NASDAQ Composite,US_INDEX,yfinance,9039.4599609375,9093.4296875,9010.8896484375,9092.1904296875,2862700000,,,,,,,,,,,0,0,0,,,,,,,,,0.0,0.0,0.0,0,,,,^IXIC,,,,,,,,,,,,,,,,,,
2020-01-03,SK Hynix,KR_STOCK,FinanceDataReader,96500.0,97900.0,94300.0,94500.0,3021380,,-0.002111932418162654,,,,,,,,,0,0,0,,,,,,,,,-15.954415954402066,-3.190883190880413,-12.763532763521653,0,,,,000660,,,,,,,,,,43.41913014711963,,,,,,,,
2020-01-03,Samsung Electronics,KR_STOCK,FinanceDataReader,56000.0,56600.0,54900.0,55500.0,15422255,,0.005434782608695565,,,,,,,,,0,0,0,,,,,,,,,23.931623931624927,4.786324786324985,19.14529914529994,1,,,,005930,,,,,,,,,,25.50012405465756,,,,,,,,
2020-01-03,Hanmi Semiconductor,KR_STOCK,FinanceDataReader,4040.0,4155.0,3975.0,3985.0,715858,,0.0012562814070351536,,,,,,,,,0,0,0,,,,,,,,,0.39886039886005165,0.07977207977201034,0.3190883190880413,1,,,,042700,,,,,,,,,,1.8309548532938809,,,,,,,,
